"","Country","avg_GDP_2","avg_happiness"
"174","Australia",57117.0872142857,7.19184285714286
"175","Belgium",59070.9609285714,6.91275
"176","Sweden",60132.8962142857,7.34960714285714
"177","Saudi Arabia",60522.0746428571,6.48960714285714
"178","Germany",60868.3454285714,6.8857
"179","Andorra",61514.9857142857,NA
"180","San Marino",61645.5194615385,NA
"181","Iceland",62338.9149285714,7.46596428571429
"182","Austria",62504.9772857143,7.12058571428571
"183","Hong Kong",63324.4667142857,5.45052857142857
"184","Faroe Islands",65176.1214285714,NA
"185","Denmark",65325.84,7.60068571428571
"186","Netherlands",65728.9248571429,7.40185
"187","Greenland",66201.9283846154,NA
"188","United States",67121.3791428571,6.95518571428571
"189","United Arab Emirates",72111.1117857143,6.76098571428571
"190","Cayman Islands",74878.0469230769,NA
"191","Switzerland",78376.1152857143,7.40013571428571
"192","Brunei",81326.8752142857,NA
"193","Norway",86939.1793571429,7.44642857142857
"194","Ireland",90260.3224285714,6.99769285714286
"195","Bermuda",96747.2547142857,NA
"196","Singapore",116654.629,6.52165
"197","Qatar",121588.445785714,6.47771428571429
"198","Macao",122608.316,NA
"199","Luxembourg",131221.027428571,7.09182142857143
"200","South Sudan",NA,3.26932
"201","Yemen",NA,3.74410769230769
"202","Cuba",NA,5.418
"203","Venezuela",NA,5.62465714285714
"204","Taiwan",NA,6.44052857142857
